Date,Open,High,Low,Close,Adj Close,Volume,Days
2013-09-23,64.540001,64.650002,64.169998,64.400002,48.649113,2501100,0
2013-09-24,64.089996,64.25,63.790001,63.91,48.278946,4167100,1
2013-09-25,63.959999,64,62.790001,63.240002,47.772823,6325900,2
2013-09-26,63.419998,63.91,63.150002,63.369999,47.87101,4035200,3
2013-09-27,63.360001,64.279999,63.290001,63.939999,48.301617,3378300,4
2013-09-30,63.52,63.990002,63.380001,63.98,48.331833,4572300,5
2013-10-01,63.939999,64.080002,63.669998,63.91,48.278946,4126100,6
2013-10-02,63.720001,63.720001,63.200001,63.650002,48.082539,3587600,7
2013-10-03,63.599998,63.73,63.099998,63.450001,47.931458,3964700,8
2013-10-04,63.439999,63.450001,63.09,63.41,47.901245,2791400,9
2013-10-07,63.119999,63.310001,62.66,62.68,47.349773,3323700,10
2013-10-08,62.720001,62.84,62.029999,62.130001,46.934296,4430300,11
2013-10-09,62.220001,62.810001,62.130001,62.689999,47.35733,3859500,12
2013-10-10,63.16,63.580002,63.009998,63.450001,47.931458,2638300,13
2013-10-11,63.139999,63.23,62.450001,63.209999,47.750156,3537700,14
2013-10-14,62.799999,63.720001,62.799999,63.650002,48.082539,3101400,15
2013-10-15,63.509998,63.549999,62.889999,62.93,47.538643,3844500,16
2013-10-16,63.099998,63.900002,63.080002,63.900002,48.271393,3194500,17
2013-10-17,63.650002,64.879997,63.57,64.860001,48.996593,3524200,18
2013-10-18,65.169998,65.260002,64.419998,64.669998,48.853069,5862100,19
2013-10-21,64.720001,64.93,64.169998,64.699997,48.875732,2800800,20
2013-10-22,64.790001,65.459999,64.459999,65.120003,49.193008,3842500,21
2013-10-23,65,65.18,64.239998,64.269997,48.550903,4687400,22
2013-10-24,64.419998,64.550003,64,64.129997,48.445133,4638000,23
2013-10-25,64.160004,64.18,63.610001,64.07,48.399811,4308900,24
2013-10-28,63.869999,65.059998,63.560001,64.879997,49.011703,5674500,25
2013-10-29,64.809998,64.900002,64.199997,64.32,48.588676,6048100,26
2013-10-30,64.339996,65.949997,63.5,65.709999,49.638702,8585400,27
2013-10-31,66.059998,66.110001,64.650002,64.790001,48.943714,7481500,28
2013-11-01,64.889999,64.93,64.239998,64.620003,48.815292,3768800,29
2013-11-04,64.970001,65.360001,64.82,65.220001,49.268547,4358700,30
2013-11-05,65.099998,65.25,64.599998,64.629997,48.822861,5107100,31
2013-11-06,65.050003,66.080002,64.779999,65.699997,49.631134,4490300,32
2013-11-07,65.889999,65.989998,64.809998,64.82,48.966377,5154200,33
2013-11-08,64.75,65.129997,64.529999,65.110001,49.185459,3717000,34
2013-11-11,65.110001,65.849998,65.099998,65.690002,49.6236,2610300,35
2013-11-12,65.669998,66.089996,65.32,65.440002,49.434731,3181700,36
2013-11-13,65.419998,66.949997,65.379997,66.870003,50.514992,5694600,37
2013-11-14,66.5,66.790001,66.230003,66.669998,50.363918,4629500,38
2013-11-15,66.690002,67.059998,66.419998,66.889999,50.530102,3542300,39
2013-11-18,66.709999,66.790001,66.209999,66.449997,50.522511,3489000,40
2013-11-19,66.419998,66.93,66.330002,66.629997,50.659351,3357800,41
